field,F378,F395,F410,F430,F515,F660,F861
CenA20,19.636800,19.470900,20.645100,20.861900,21.034500,20.574000,21.091700
CenA11,19.144900,19.296200,20.296900,20.410500,20.692800,20.391300,21.090600
CenA03,19.521900,19.597700,20.621300,20.743400,20.977500,20.608600,21.186100
CenA02,19.678100,19.783300,20.732200,20.914100,21.087200,20.626500,21.157000
CenA24,19.626200,19.724300,20.773800,20.938700,21.100100,20.664700,21.279400
CenA16,19.372200,19.520600,20.532300,20.677500,20.848000,20.499100,21.156500
CenA13,19.668200,19.690000,20.660100,20.906000,21.061900,20.609300,21.172300
CenA12,19.458300,19.599600,20.529200,20.784000,20.965400,20.543300,21.171300
CenA07,19.592700,19.707300,20.711100,20.931400,21.108100,20.656500,21.240900
CenA23,19.519000,19.543700,20.543800,20.748600,20.941300,20.550200,21.141100
CenA08,19.608900,19.742800,20.706500,20.929900,21.092400,20.684800,21.208700
CenA15,19.557900,19.632800,20.620500,20.823600,20.960300,20.500500,21.065400
CenA17,19.554100,19.698600,20.673000,20.777500,21.003100,20.515800,21.150600
CenA01,19.648600,19.682900,20.698900,20.896500,21.097200,20.628000,21.165400
CenA19,19.412000,19.496000,20.481900,20.709900,20.914800,20.472700,21.072700
CenA14,19.445700,19.453000,20.466600,20.684200,20.960800,20.432000,21.064300
CenA18,19.621200,19.745400,20.713200,20.901600,21.072600,20.603600,21.090600
CenA10,19.610900,19.716600,20.709500,20.881200,21.064700,20.629900,21.207600
CenA05,19.578200,19.769500,20.672800,20.851300,21.022600,20.558800,21.153800
CenA22,19.568800,19.644200,20.620300,20.685900,21.019000,20.514600,21.130800
CenA21,19.505300,19.628400,20.516200,20.753600,20.901600,20.425900,21.117200
CenA09,19.485300,19.646500,20.678100,20.890500,21.057200,20.577000,21.201500
CenA06,19.664500,19.740900,20.727600,20.985000,21.134300,20.633900,21.351100
CenA04,19.346700,19.493900,20.491600,20.702300,20.901500,20.458800,21.153000
